token	lemma	pos
sibi	sui	PRO
;	;	$.
»	»	$(
quia	quia	CON
majestas	maiestas	ADJ
amicitiae	amicitia	NN
in	in	AP
perseverantiae	perseverantia	NN
solio	solius	NN
collocata	colloco	V
,	,	$,
linguas	lingua	NN
transeuntes	transeo	V
in	in	AP
terram	terra	NN
sublimi	sublimus	ADJ
securitate	securitas	NN
derisit	derideo	V
,	,	$,
nunc	nunc	ADV
ergo	ergo	ADV
poliendus	polio	V
est	sum	V
stylus	stylus	NN
,	,	$,
et	et	CON
venustiori	venustior	NN
respergendus	respergo	V
eloquio	eloquium	NN
,	,	$,
ne	ne	CON
verborum	verbum	NN
nuditas	nuditus	NN
accuset	accuso	V
ingenii	ingenium	NN
facultatem	facultas	NN
.	.	$.

quis	quis	PRO
mihi	ego	PRO
det	do	V
nunquam	nunquam	ADV
memoriam	memoria	NN
tuam	tuus	PRO
deserere	desero	V
,	,	$,
et	et	CON
nunquam	nunquam	ADV
ab	ab	AP
illa	ille	PRO
deseri	deser	V
?	?	$.
quomodo	quomodo	ADV
pati	patior	V
potuit	possum	V
tamen	tamen	ADV
tam	tam	ADV
longam	longua	ADJ
tam	tam	ADV
mutam	mutus	ADJ
absentiam	absentia	NN
?	?	$.
cum	cum	CON
resideo	resideus	NN
judex	judex	NN
cogitationum	cogitatio	NN
mearum	meus	PRO
,	,	$,
et	et	CON
solus	solus	ADJ
solitudinem	solitudo	NN
cordis	cor	NN
mei	meus	PRO
ingredior	ingredior	V
,	,	$,
admiror	admiror	V
vehementer	vehementer	ADV
.	.	$.

et	et	CON
si	si	CON
videre	video	V
non	non	ADV
licuit	licet	V
,	,	$,
saltem	saltem	ADV
litterae	littera	NN
,	,	$,
quae	qui	PRO
vera	verus	ADJ
amici	amicus	NN
vestigia	vestigium	NN
veras	verus	ADJ
notas	notus	NN
afferunt	affero	V
quare	quare	ADV
defuerunt	desum	V
?	?	$.
quid	quis	PRO
est	sum	V
quod	quod	CON
dico	dico	V
?	?	$.
quia	quia	CON
videre	video	V
non	non	ADV
licuit	licet	V
?	?	$.
quaenam	quaena	NN
excusatio	excusatio	NN
?	?	$.
umbratilibus	propername	NP
palliata	pallio	V
mendaciis	mendacium	NN
?	?	$.
nunquid	numquid	ADV
usque	usque	AP
ad	ad	ADV
trecas	treca	ADJ
mare	mare	NN
interfluebat	interfluo	V
oceanum	oceanus	V
?	?	$.
aut	aut	CON
impenetrabiles	impenetrabilis	NN
riphaei	riphaeus	ADJ
montes	mons	NN
fuerant	sum	V
interjecti	intericio	V
?	?	$.
sed	sed	CON
,	,	$,
etsi	etsi	CON
haec	hic	PRO
omnia	omnis	ADJ
convenissent	convenio	V
,	,	$,
nihil	nihil	PRO
esse	sum	V
debuit	debeo	V
amori	amor	NN
invium	invis	NN
,	,	$,
nihil	nihil	NN
arduum	arduus	NN
diligenti	diligens	ADJ
.	.	$.

consuevit	consueo	V
amor	amor	NN
nare	nares	V
supra	supra	AP
nubes	nubes	NN
et	et	CON
aquae	aqua	NN
non	non	ADV
possunt	possum	V
illum	ille	PRO
exstinguere	exstinguo	V
,	,	$,
quia	quia	CON
solus	solus	ADJ
est	sum	V
qui	qui	PRO
difficultatum	difficultas	NN
instantiam	instantia	NN
saltu	saltus	NN
suae	suus	PRO
subtilitatis	subtilitas	NN
ludificare	ludifico	V
praenovit	praenosco	V
.	.	$.

difficile	difficilis	ADJ
et	et	CON
angustum	angustus	ADJ
,	,	$,
leve	leve	ADJ
facit	facio	V
;	;	$.
et	et	CON
latum	latus	ADJ
opprobrium	opprobrium	ADJ
gloriam	gloria	NN
indicat	indico	V
,	,	$,
despectionem	despectio	NN
exaltationem	exaltatio	NN
esse	sum	V
contendit	contendo	V
.	.	$.

quem	qui	PRO
accusabo	accuso	NN
primum	primus	ADV
aut	aut	CON
quem	qui	PRO
justiorem	iustior	NN
in	in	AP
nostra	noster	PRO
querela	querela	NN
?	?	$.
si	si	CON
verum	verum	ADJ
cupio	cupio	V
confiteri	confiteor	V
:	:	$.
«ego	propername	V
sum	sum	V
qui	qui	PRO
peccavi	pecco	V
,	,	$,
ego	ego	NE
inique	inique	ADV
egi	ego	NP
.	.	$.

»	»	$(
quid	quis	PRO
enim	enim	CON
tu	tu	PRO
fecisti	facio	V
,	,	$,
simplex	simplex	ADJ
et	et	CON
mansuetissime	mansuetus	NN
puer	puer	NN
,	,	$,
et	et	CON
in	in	AP
ipsis	ipse	PRO
arcanis	arcanus	NN
verecundiae	verecundia	NN
,	,	$,
reclusione	reclusio	NN
mirabili	mirabilis	ADJ
consignatus	consigno	V
?	?	$.
vix	vix	ADV
audes	audeo	NN
oculos	oculus	NN
levare	levo	V
ad	ad	ADV
coelum	coel	NN
et	et	CON
respicere	respicio	V
circumstantes	circumsto	V
:	:	$.
et	et	CON
ego	ego	PRO
pudorem	pudor	NN
altissimum	altus	ADJ
altiori	altus	NN
oblivione	oblivio	NN
confudi	confudio	V
.	.	$.

factus	facio	V
sum	sum	V
tibi	tu	PRO
sicut	sicut	CON
ursus	ursus	V
,	,	$,
et	et	CON
leo	leo	NP
,	,	$,
et	et	CON
superbientis	superbiens	V
oculi	oculus	NN
dedignatione	dedignatio	NN
,	,	$,
teneritudinem	teneritudo	NN
tuae	tuus	PRO
mentis	mens	NN
infregi	infrego	NE
.	.	$.

idcirco	idcirco	ADV
me	ego	PRO
ipsum	ipse	PRO
reprehendo	repreho	V
,	,	$,
transfer	transfero	V
peccatum	peccatum	NN
hoc	hic	PRO
a	ab	AP
me	ego	PRO
.	.	$.

sed	sed	CON
hactenus	hactenus	ADV
si	si	CON
garruli	garrulus	NN
et	et	CON
subversores	subversor	NN
subvertunt	subverto	V
te	tu	PRO
,	,	$,
amplius	ample	ADV
non	non	ADV
subvertant	subverto	V
:	:	$.
ne	ne	CON
sedeas	sedeo	ADJ
cum	cum	AP
consilio	consilium	NN
vanitatis	vanitas	NN
et	et	CON
cum	cum	AP
hominibus	homo	NN
virulentos	virulens	ADJ
sermones	sermo	NN
afflantibus	afflor	V
non	non	ADV
commiscearis	commisceo	V
;	;	$.
memento	mementum	V
quia	quia	CON
nemo	nemo	PRO
invito	invitus	NN
auditori	auditor	NN
aliquid	aliquis	PRO
libenter	libenter	ADV
narrat	narro	V
.	.	$.

sed	sed	CON
quia	quia	CON
mortui	mortuus	NN
apices	apex	NN
non	non	ADV
possunt	possum	V
applicare	applico	V
quod	quod	CON
sentio	sentio	V
:	:	$.
nil	nil	V
mihi	ego	PRO
rescribas	rescribo	V
;	;	$.
attamen	attamen	ADV
ipse	ipse	PRO
veni	venio	V

.	.	$.

ovid	ovid	NP
.	.	$.

,	,	$,
epist	apister	V
.	.	$.

conspectus	conspicio	NN
enim	enim	CON
et	et	CON
conversatio	conversatio	NN
habent	habeo	V
aliquid	aliquis	PRO
vivae	vivus	ADJ
voluptatis	voluptas	NN
;	;	$.
quam	qui	ADV
litterarum	littera	NN
elementa	elementum	NN
non	non	ADV
capiant	capio	V
.	.	$.

magno	magnus	ADJ
sacerdoti	sacerdos	NN
et	et	CON
suo	suus	PRO
specialiter	specialiter	ADV
patri	pater	NN
,	,	$,
frater	frater	NN
nicolaus	nicolaus	ADJ
,	,	$,
fungi	fungor	V
sacerdotio	sacerdotio	NN
in	in	AP
conspectu	conspectus	NN
dei	deus	NN
.	.	$.

forsitan	forsitan	ADV
irreverentiae	irreverentia	NN
arguar	arguo	V
qui	qui	PRO
tantae	tantus	ADJ
reverentiae	reverentia	NN
scribere	scribo	V
non	non	ADV
formido	formido	V
.	.	$.

quid	quis	PRO
enim	enim	CON
servus	servus	NN
ad	ad	ADV
dominum	dominus	NN
,	,	$,
discipulus	discipulus	NN
ad	ad	ADV
magistrum	magister	NN
,	,	$,
ad	ad	AP
episcopum	episcopus	NN
monachus	monachus	NN
?	?	$.
nihil	nihil	NN
mihi	ego	PRO
et	et	CON
illi	ille	PRO
,	,	$,
cum	cum	AP
illum	ille	PRO
summa	summa	ADJ
dignitas	dignitas	NN
,	,	$,
me	ego	PRO
vilitas	vilitas	NN
alia	alius	PRO
componat	compono	V
.	.	$.

tacebo	taceo	NN
igitur	igitur	CON
,	,	$,
ne	ne	CON
loquens	loquor	V
notam	notus	NN
loquacitatis	loquacitas	NN
incurram	incurra	V
:	:	$.
imo	imo	NN
praesumam	praesumo	NN
loqui	loquor	V
ad	ad	ADV
dominum	dominus	NN
meum	meus	PRO
:	:	$.
«jucundum	siucundus	V
sit	sum	V
ei	is	PRO
eloquium	eloquium	NN
meum	meus	PRO
.	.	$.

»	»	$(
dat	do	V
fiduciam	fiducia	NN
stylo	stylus	ADJ
sermo	sermo	NN
communis	communis	ADJ
,	,	$,
antiquus	antiquus	ADJ
amor	amor	NN
,	,	$,
indivisa	indivisus	ADJ
familiaritas	familiaritus	NN
.	.	$.

laudatur	laudo	V
evangelica	evangelicus	ADJ
mulier	mulier	NN
,	,	$,
quia	quia	CON
quod	quod	CON
habuit	habeo	V
,	,	$,
et	et	CON
fecit	facio	V
;	;	$.
ita	ita	ADV
et	et	CON
ego	ego	NE
facio	facio	V
,	,	$,
quod	quod	CON
habeo	habeo	V
;	;	$.
litteras	littera	NN
habeo	habeo	V
,	,	$,
et	et	CON
litteras	littera	NN
mitto	mitto	V
.	.	$.

felices	felix	NN
litterae	littera	NN
quae	qui	PRO
non	non	ADV
trahunt	traho	V
ad	ad	AP
insaniam	insania	NN
sed	sed	CON
ad	ad	AP
modestiam	modestia	NN
,	,	$,
felix	felix	ADJ
scientia	scientia	NN
,	,	$,
quae	qui	PRO
conscientiae	conscientia	NN
possidet	possideo	V
puritatem	puritas	NN
.	.	$.

consummatus	consummo	NN
sensus	sensus	ADJ
,	,	$,
qui	qui	PRO
sic	sic	ADV
serpentem	serpens	NN
exerit	exsum	V
ut	ut	CON
columbam	columba	NN
non	non	ADV
deserat	desuro	V
,	,	$,
et	et	CON
sic	sic	ADV
columbam	columba	NN
temperat	tempero	V
,	,	$,
ut	ut	CON
serpens	serpens	NN
non	non	ADV
tepescat	tepesco	V
.	.	$.

sublimis	sublimus	NN
eloquentia	eloquentia	NN
quae	qui	PRO
nec	nec	CON
praecipitatur	praecipitor	V
nec	nec	ADV
praecipitat	praecipito	V
;	;	$.
quae	qui	PRO
docet	doceo	V
ordinem	ordo	NN
,	,	$,
componit	compono	V
mores	mos	NN
,	,	$,
patientiam	patientia	NN
induit	induo	V
,	,	$,
loquitur	loquor	V
honestatem	honestas	NN
.	.	$.

erudita	eruditus	NN
lingua	lingua	NN
quae	qui	PRO
novit	nosco	V
,	,	$,
quando	quando	CON
debeat	debeo	V
proferre	profero	V
sermonem	sermo	NN
,	,	$,
quae	qui	PRO
tacet	taceo	V
in	in	AP
tempore	tempus	NN
malo	malum	NN
;	;	$.
quae	qui	PRO
non	non	ADV
profert	profero	V
totum	totus	V
spiritum	spiritus	NN
suum	suus	NN
simul	simul	ADV
,	,	$,
sed	sed	CON
reservat	reservo	V
in	in	AP
posterum	posterus	NN
.	.	$.

pectus	pectus	NN
providum	providus	ADJ
et	et	CON
plenum	plenus	ADJ
consilii	consilium	NN
;	;	$.
ubi	ubi	CON
reverentia	reverentia	NN
sedet	sedeo	V
,	,	$,
regnat	regno	V
discretio	discretio	NN
,	,	$,
modestia	modestia	NN
dominatur	dominor	V
.	.	$.

quid	quis	PRO
enim	enim	CON
sensus	sensus	ADJ
valet	valeo	V
,	,	$,
si	si	CON
sensata	senso	V
non	non	ADV
facimus	facio	V
?	?	$.
quid	quis	PRO
sapientia	sapientia	NN
est	sum	V
;	;	$.
si	si	CON
de	de	AP
sapientiae	sapientia	NN
occasione	occasio	NN
desipimus	desipio	V
?	?	$.
quid	quis	PRO
litterae	littera	NN
si	si	CON
litterarum	littera	NN
effectum	effectus	NN
nescimus	nesco	V
?	?	$.
quid	quis	PRO
eloquentia	eloquentia	NN
,	,	$,
si	si	CON
loqui	loquor	V
et	et	CON
tacere	taceo	V
non	non	ADV
novimus	nosco	V
?	?	$.
qui	qui	PRO
sensatus	senso	V
est	sum	V
ut	ut	CON
dissentiat	dissentio	V
,	,	$,
sapiens	sapiens	NN
ut	ut	CON
desipiat	desipio	V
,	,	$,
litteratus	littero	V
ut	ut	CON
commoveat	commoveo	V
terram	terra	NN
,	,	$,
eloquens	eloquor	V
ut	ut	CON
linguosus	linguosus	ADJ
appareat	appareo	V
,	,	$,
non	non	ADV
habet	habeo	V
partem	pars	NN
in	in	AP
regno	regnum	NN
christi	christus	NP
et	et	CON
dei	deus	NN
.	.	$.

justus	iustus	ADJ
qui	qui	PRO
non	non	ADV
cognovit	cognosco	V
litteraturam	littero	NN
,	,	$,
introibit	introeo	V
in	in	AP
potentias	potentia	NN
domini	dominus	NN
.	.	$.

moyses	moyses	NP
impeditioris	impeditior	NN
et	et	CON
tardioris	tardior	NN
linguae	lingua	NN
,	,	$,
praeficitur	praeficio	V
sexcentis	sexcens	ADJ
millibus	milles	NN
armatorum	armatus	ADJ
;	;	$.
eliguntur	eligo	V
piscatores	piscator	NN
et	et	CON
indocti	indoctus	NN
,	,	$,
ut	ut	CON
sapientes	sapiens	NN
et	et	CON
philosophi	philosophusophus	NN
confundantur	confundo	V
:	:	$.
et	et	CON

.	.	$.
.	.	$.
.	.	$.
.	.	$.

sibi	sui	PRO
vindicat	vindico	V
gloriam	gloria	NN
de	de	AP
muneribus	munus	NN
creatoris	creator	NN
,	,	$,
perfectus	perfectus	ADJ
animus	animus	NN
et	et	CON
perfectae	perfectus	ADJ
compositionis	compositio	NN
partibus	pars	NN
insignitus	insigno	V
quem	qui	PRO
sensus	sensus	ADJ
maturior	maturus	NN
,	,	$,
sermo	sermo	NN
discretior	discretus	NN
,	,	$,
habitus	habitus	ADJ
reverentior	reverens	NN
honestavit	honesto	V
,	,	$,
hanc	hic	PRO
vobis	vos	PRO
formam	forma	NN
,	,	$,
dulcissime	dulcio	NN
pater	pater	NN
,	,	$,
impressit	impredo	V
altissimus	altus	NN
,	,	$,
et	et	CON
in	in	AP
virtutum	virtus	NN
altitudinem	altitudo	NN
vita	vita	NN
vestra	vester	PRO
surrexit	surgo	V
.	.	$.

quis	quis	PRO
enim	enim	CON
rectius	recte	ADV
sentit	sentio	V
,	,	$,
venustius	venustio	ADJ
loquitur	loquor	V
,	,	$,
moderantius	moderanter	V
vivit	vivo	V
?	?	$.
sed	sed	CON
ne	ne	CON
videas	video	V
iterum	iterum	ADV
adulatorio	adulatorius	NN
sermone	sermo	NN
,	,	$,
rerum	res	NN
obnubilare	obnubilo	V
splendorem	splendor	NN
,	,	$,
omittam	omitto	NN
caetera	caeterus	ADJ
.	.	$.

quae	qui	PRO
vero	vero	CON
prae	prae	AP
caeteris	caeterus	ADJ
virtutibus	virtus	NN
in	in	AP
pectore	pector	NN
vestro	vester	PRO
sibi	sui	PRO
delegit	delego	V
principatum	principatus	NN
,	,	$,
ea	is	PRO
,	,	$,
nisi	nisi	CON
fallor	fallo	V
,	,	$,
patientia	patientia	NN
est	sum	V
.	.	$.

vidi	video	V
ego	ego	NE
oculata	oculo	V
fide	fides	NN
populos	populus	NN
frementes	fremo	V
obstrepere	obstrepo	V
,	,	$,
et	et	CON
circumlatrare	circumlatro	V
,	,	$,
plurimos	multus	NN
clericorum	clericus	NN
turbari	turbo	V
,	,	$,
terram	terra	NN
ante	ante	AP
faciem	facies	NN
vestram	vester	PRO
et	et	CON
verba	verbum	NN
volantia	volo	V
in	in	AP
detestandum	detestor	ADJ
clamorem	clamor	NN
emergere	emergo	V
:	:	$.
vos	vos	PRO
residere	resideo	V
quietum	quiesco	V
,	,	$,
et	et	CON
eo	is	PRO
munitum	munitus	NN
vallo	vallus	V
,	,	$,
quo	qui	PRO
infrendens	infrendo	V
stultitia	stultitia	NN
apparere	appareo	V
non	non	ADV
posset	possum	V
.	.	$.

vidi	video	V
iniquos	iniquus	NN
inique	inique	ADV
agere	ago	V
,	,	$,
et	et	CON
delinquentes	delinquo	V
exaltare	exalto	V
cornu	cornus	NN
quos	qui	PRO
ad	ad	AP
unum	unus	NN
verbum	verbum	NN
episcopalis	episcopalis	ADJ
auctoritas	auctoritas	NN
posset	possum	V
subruere	subruo	V
,	,	$,
si	si	CON
in	in	AP
eos	is	PRO
irruere	irruo	V
placuisset	placeo	V
.	.	$.

sed	sed	CON
exspectabatis	exspecto	V
paulisper	paulisper	ADV
,	,	$,
et	et	CON
de	de	AP
tonante	tono	NN
malignorum	malignus	ADJ
procella	procella	NN
securius	securio	ADJ
ridebatis	rideo	NN
,	,	$,
donec	donec	CON
aut	aut	CON
colliderentur	collido	V
ad	ad	ADV
invicem	invicem	ADV
,	,	$,
aut	aut	CON
a	ab	AP
superioribus	superus	ADJ
potestatibus	potestas	NN
arcerentur	arcero	V
.	.	$.

singularis	singularis	ADJ
virtus	virtus	NN
in	in	AP
homine	homo	NN
ad	ad	AP
illorum	ille	PRO
impatientiam	impatientia	NN
,	,	$,
patientiam	patientia	NN
exhibere	exhibeo	V
quos	qui	PRO
habet	habeo	V
in	in	AP
potestate	potestas	NN
punire	punio	V
cum	cum	CON
voluerit	volo	V
.	.	$.

currebat	curro	V
stylus	stylus	NN
et	et	CON
affectum	affectus	NN
meum	meus	PRO
quibuscunque	quicumque	ADJ
litteris	littera	NN
indicabat	indico	V
,	,	$,
donec	donec	CON
retrospexi	retrospex	V
et	et	CON
intellexi	intellex	ADJ
longitudinem	longitudo	NN
sermonis	sermo	NN
epistolae	epistola	NN
limitem	limes	NN
excessisse	excedo	V
.	.	$.

finem	finis	NN
igitur	igitur	CON
facio	facio	V
,	,	$,
et	et	CON
rogo	rogo	V
ut	ut	CON
interpositis	interpono	V
curis	curis	NN
aliquid	aliquis	PRO
rescribatis	rescribo	V
et	et	CON
puerum	puer	NN
vestrum	vester	PRO
nobilis	nobilis	ADJ
illius	ille	PRO
eloquentiae	eloquentia	NN
consolationibus	consolatio	NN
relevetis	relevo	V
.	.	$.

